165|Pure Storage, Inc.|Company
166|BE Semiconductor Industries N.V.|Company
167|Hithink RoyalFlush Information Network Co. Ltd|Company
168|LARGAN Precision Co.,Ltd|Company
169|Paycom Software, Inc.|Company
170|ZoomInfo Technologies Inc.|Company
171|ASUSTeK Computer, Inc.|Company
172|DocuSign, Inc.|Company
173|Xero Limited|Company
174|Nutanix, Inc.|Company
175|Open Text Corporation|Company
176|Nexi S.p.A.|Company
177|MicroStrategy Incorporated|Company
178|Elastic N.V.|Company
179|BYD Electronic International Co Ltd|Company
180|F5 Networks, Inc.|Company
181|Flex Ltd.|Company
182|Qorvo, Inc.|Company
183|Amdocs Limited|Company
184|Proofpoint, Inc.|Company
185|Computershare Limited|Company
186|Advantech Co. Ltd|Company
187|Oracle Corp Japan|Company
188|Ceridian HCM Holding Inc.|Company
189|Wiwynn Corp|Company
190|Novatek Microelectronics Corp|Company
191|Dropbox, Inc.|Company
192|Maxscend Microelectronics Company Ltd|Company
193|Black Knight, Inc.|Company
194|Anaplan, Inc.|Company
195|Juniper Networks, Inc.|Company
196|Sanan Optoelectronics Co. Ltd|Company
197|TD Synnex|Company
198|Globant SA|Company
199|Zendesk, Inc.|Company
200|Nemetschek SE|Company
201|Procore Technologies, Inc.|Company
202|OMRON Corp|Company
203|Cree, Inc.|Company
204|Montage Technology Co. Ltd|Company
205|Lattice Semiconductor Corporation|Company
206|Sunny Optical Technology Group Co Ltd|Company
207|Paylocity Holding Corporation|Company
208|Lens Technology Co. Ltd|Company
209|Accton Technology Corp|Company
210|CyberArk Software Ltd.|Company
211|Wistron Corp|Company
212|Avast plc|Company
213|Lite-On Technology Corp|Company
214|Guidewire Software, Inc.|Company
215|Universal Display Corporation|Company
216|360 Security Technology, Inc.|Company
217|Trina Solar Co. Ltd|Company
218|WEX Inc.|Company
219|Minebea Mitsumi, Inc.|Company
220|Unimicron Technology Corp|Company
221|Shimadzu Corp|Company
222|GlobalWafers Co. Ltd|Company
223|monday.com Ltd|Company
224|Switch, Inc.|Company
225|Alchip Technologies Ltd|Company
226|Yonyou Network Technology Co. Ltd|Company
227|SCREEN Holdings Co. Ltd|Company
228|China Resources Microelectronics Ltd|Company
229|Avalara, Inc.|Company
230|Dolby Laboratories, Inc.|Company
231|GigaDevice Semiconductor|Company
232|Bill.com Holdings, Inc.|Company
233|Ubiquiti Inc.|Company
234|Dawning Information Industry Co. Ltd|Company
235|Ibiden Co.,Ltd.|Company
236|Zhejiang Jingsheng Mechanical & Electrical Co. Ltd|Company
237|Otsuka Corp|Company
238|Chaozhou Three-Circle|Company
239|National Instruments Corporation|Company
240|Nanya Technology Corp|Company
241|Amkor Technology, Inc.|Company
242|Realtek Semiconductor Corp|Company
243|Pegatron Corp|Company
244|Cambricon Technologies Corp Ltd|Company
245|Global Unichip Corp|Company
246|Trend Micro Inc.|Company
247|Hundsun Technologies, Inc.|Company
248|ROHM Co. Ltd|Company
249|E Ink Holdings, Inc.|Company
250|Wingtech Technology Co.,Ltd|Company
251|CACI International Inc|Company
252|JCET Group Co. Ltd|Company
253|Descartes Systems Group Inc.|Company
254|The Descartes Systems Group, Inc.|Company
255|Rambus Inc.|Company
256|Qualys, Inc.|Company
257|Onto Innovation Inc.|Company
258|National Silicon Industry Group Co. Ltd|Company
259|Cognex Corporation|Company
260|Wix.com Ltd.|Company
261|Fabrinet|Company
262|SPS Commerce, Inc.|Company
263|Ciena Corporation|Company
264|MKS Instruments, Inc.|Company
265|Concentrix Corporation|Company
266|Temenos AG|Company
267|Science Applications International Corporation|Company
268|Mohawk Group Holdings, Inc.|Company
269|CDK Global, Inc.|Company
270|Arrow Electronics, Inc.|Company
271|SCSK Corp|Company
272|Littelfuse, Inc.|Company
